,feature,score
0,Wind Speed 100m,-8212.360862101777
1247,value__energy_ratio_by_chunks__num_segments_10__segment_focus_9|V_100m,-8171.99313370185
1550,value__friedrich_coefficients__m_3__r_30__coeff_2|V_10m,-7525.962998283445
2179,value__time_reversal_asymmetry_statistic__lag_3|V_100m,-6879.871829105541
429,value__c3__lag_2|V_10m,-6146.343696356867
801,value__cid_ce__normalize_False|V_10m,-6064.143429334275
1898,value__quantile__q_0.1|V_100m,-5837.940110623604
1041,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_5|U_100m",-5735.256913980469
511,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4|U_10m",-5602.386419988354
1520,"value__fft_coefficient__coeff_9__attr_""real""|V_10m",-5201.907304977998
439,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0|U_10m",-5177.066564943641
1939,value__quantile__q_0.9|U_10m,-5160.465382414637
899,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_5|V_100m",-5072.735456799506
2164,value__time_reversal_asymmetry_statistic__lag_1|T,-5067.181384703261
1182,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_20|V_10m",-5036.957467098837
886,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_2|U_10m",-5027.741369444877
2030,value__standard_deviation|V_10m,-4820.812511920463
1897,value__quantile__q_0.1|U_10m,-4768.152584398165
897,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_5|U_100m",-4603.007438489352
838,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2|U_10m",-4402.267404157785
2022,value__spkt_welch_density__coeff_8|U_10m,-4399.874880793504
1851,value__partial_autocorrelation__lag_4|V_10m,-4194.850276559126
1852,value__partial_autocorrelation__lag_5|CLCT,-4008.1480068662204
521,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8|T",-3886.8739271409577
605,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6|T",-3883.211901582894
639,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0|V_10m",-3819.004386801389
1384,"value__fft_coefficient__coeff_4__attr_""angle""|T",-3780.8827007436194
609,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6|V_10m",-3554.2033187105553
1783,value__minimum|V_10m,-3463.055502574891
1472,"value__fft_coefficient__coeff_7__attr_""real""|V_10m",-3385.750143047888
436,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0|CLCT",-3320.7491893952247
101,"value__agg_autocorrelation__f_agg_""var""__maxlag_40|T",-3237.6578294868814
244,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""|CLCT",-3117.921800495824
432,value__c3__lag_3|U_100m,-3038.28495136369
1245,value__energy_ratio_by_chunks__num_segments_10__segment_focus_9|U_100m,-2982.182719816803
593,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2|T",-2973.6502002668567
1331,"value__fft_coefficient__coeff_2__attr_""abs""|U_100m",-2943.487316421699
1466,"value__fft_coefficient__coeff_7__attr_""imag""|V_10m",-2915.4972344078124
1246,value__energy_ratio_by_chunks__num_segments_10__segment_focus_9|U_10m,-2898.2857142855646
1311,"value__fft_coefficient__coeff_1__attr_""angle""|CLCT",-2896.5157352659153
1412,"value__fft_coefficient__coeff_5__attr_""angle""|V_10m",-2870.954796871869
1907,value__quantile__q_0.3|T,-2864.3875643714564
1781,value__minimum|U_10m,-2813.705130650196
1177,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_20|CLCT",-2783.200457753148
178,"value__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""slope""|CLCT",-2694.6038527558558
1488,"value__fft_coefficient__coeff_8__attr_""imag""|U_10m",-2693.944688155665
997,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10|CLCT",-2628.0892618728103
